"age_group","sex","physical_health","cognitive_function","psychological_condition","social_resources","socioeconomic_resources","health_behavior","probability_limited"
"70-79","male","low","high","high","mid","mid","high",0.0893297756822963
"70-79","female","high","high","high","low","high","mid",0.089301841043242
"65-69","female","low","mid","high","low","high","high",0.0891577932442331
"70-79","female","mid","high","high","high","mid","low",0.089085310597953
"70-79","male","high","mid","high","mid","high","mid",0.089082069509373
"65-69","female","mid","mid","low","high","mid","mid",0.0889410273770127
"80+","female","high","mid","low","low","low","high",0.0889350897018857
"70-79","male","high","high","mid","low","low","low",0.0887466330189472
"65-69","male","high","mid","mid","high","high","mid",0.0887037492829508
"65-69","male","mid","high","high","high","mid","low",0.0886687483320272
"70-79","male","mid","mid","high","low","low","high",0.0886615078092668
"65-69","male","mid","low","high","mid","high","high",0.0886470284315731
"70-79","female","mid","low","high","mid","mid","mid",0.088634449144588
"65-69","female","high","low","high","low","mid","high",0.08844616851613
"65-69","male","mid","high","mid","low","mid","high",0.0881217752249472
"65-69","female","mid","high","mid","low","high","low",0.0881094326949992
"70-79","female","low","mid","mid","mid","mid","mid",0.0880575711966359
"80+","female","mid","high","high","low","low","high",0.0880097336110783
"70-79","female","low","low","mid","high","low","high",0.0879695582592322
"70-79","male","mid","high","high","mid","high","low",0.0878347396756481
"65-69","female","mid","mid","low","high","high","high",0.0878188296524473
"65-69","female","low","high","low","low","low","low",0.087687995133656
"65-69","male","high","high","high","mid","mid","low",0.0875734636243988
"80+","male","high","high","high","high","high","high",0.0875628758161532
"70-79","male","mid","mid","mid","mid","low","high",0.0875189626085605
"80+","female","high","high","low","low","mid","mid",0.0875086262362805
"80+","female","mid","mid","mid","high","mid","high",0.0874856781434891
"70-79","male","mid","high","low","low","low","high",0.0872256099566091
"65-69","female","mid","mid","low","mid","low","low",0.0871040663168743
"65-69","male","high","low","mid","mid","low","high",0.0871015695025044
"70-79","male","high","mid","high","high","low","mid",0.0869506303508692
"70-79","female","low","high","low","low","mid","high",0.0869498771584763
"70-79","male","high","high","low","low","high","high",0.0869399365010295
"65-69","male","mid","mid","low","low","low","high",0.0869191380133783
"65-69","female","low","high","low","high","low","mid",0.0868841796951816
"80+","female","mid","high","mid","mid","low","high",0.0868747868999036
"70-79","female","high","high","mid","mid","high","low",0.0868745419713377
"65-69","female","low","low","mid","mid","mid","high",0.0868704818454449
"80+","male","high","mid","mid","mid","mid","mid",0.0868561309946001
"65-69","male","low","high","high","mid","mid","high",0.0866442523285229
"65-69","female","low","high","high","mid","high","low",0.0866320970830688
"70-79","female","high","mid","high","mid","mid","low",0.0865228951744342
"70-79","female","low","mid","high","mid","high","mid",0.0864048807527258
"65-69","male","high","high","high","high","low","low",0.0863351901674412
"80+","male","high","high","low","low","low","high",0.0863074550469781
"70-79","female","high","low","high","mid","high","mid",0.0861715345707046
"70-79","male","high","low","mid","high","low","high",0.0861074315794667
"70-79","male","mid","high","high","low","low","mid",0.0860503572744722
"70-79","male","high","high","mid","low","mid","mid",0.085984396592537
"65-69","male","high","mid","mid","mid","low","low",0.0859697019783411
"80+","male","mid","mid","high","mid","low","mid",0.0859002870362419
"70-79","male","low","mid","mid","high","low","high",0.0857666566996062
"65-69","male","mid","mid","high","low","low","mid",0.0857476267306688
"70-79","female","high","high","low","high","mid","high",0.0857322372331623
"65-69","female","low","low","high","high","low","mid",0.08548800880152
"80+","female","mid","mid","high","high","mid","mid",0.0854563456153268
"65-69","female","low","low","mid","low","low","mid",0.0854425002531245
"65-69","male","low","high","high","high","low","high",0.0854178877444948
"65-69","male","low","high","mid","low","low","high",0.0853724130395376
"65-69","female","low","mid","low","high","low","high",0.0853691906808522
"70-79","male","mid","high","high","high","high","mid",0.0853612577244171
"80+","female","high","mid","mid","mid","high","mid",0.0853550541297377
"65-69","male","mid","mid","high","low","mid","high",0.0853403042958675
"80+","female","high","mid","mid","low","mid","mid",0.085286642846508
"80+","female","mid","high","mid","high","high","high",0.0852356344393129
"65-69","male","high","high","high","high","mid","mid",0.0851066528858847
"80+","female","mid","high","high","low","mid","high",0.0850862581470368
"65-69","male","high","mid","low","low","low","mid",0.0850570330294663
"70-79","male","high","mid","high","high","mid","high",0.0850502435188015
"70-79","male","high","mid","mid","high","low","low",0.0849872800058776
"70-79","male","mid","high","mid","mid","low","mid",0.0849383247899951
"70-79","female","mid","high","mid","high","low","low",0.0849316886516915
"65-69","female","high","mid","low","mid","mid","low",0.084833241576294
"65-69","male","high","mid","low","low","mid","high",0.0846526873375064
"65-69","male","mid","mid","mid","mid","low","mid",0.0846391441446701
"65-69","female","high","low","mid","low","low","low",0.084624335810743
"70-79","female","high","low","mid","low","low","mid",0.0846220565349866
"70-79","male","high","mid","mid","high","high","mid",0.0846211043847131
"80+","male","high","high","mid","mid","high","mid",0.0846207771302211
"70-79","female","high","low","mid","mid","mid","high",0.0845575344799064
"65-69","female","low","mid","mid","high","mid","low",0.0844323992194252
"65-69","male","mid","high","low","low","low","mid",0.084354551930227
"70-79","female","low","mid","high","high","low","mid",0.0843315676186543
"70-79","female","low","mid","mid","low","low","mid",0.0842866179494352
"65-69","male","mid","mid","mid","mid","mid","high",0.0842366021220606
"80+","female","high","mid","high","high","high","high",0.0842216414835112
"80+","female","mid","high","mid","mid","mid","high",0.0839855398541189
"70-79","female","high","low","mid","low","high","high",0.0839837938583989
"70-79","female","low","low","high","mid","low","high",0.0838378367131727
"70-79","female","mid","mid","high","mid","high","low",0.0835137302020006
"80+","male","high","high","low","low","mid","high",0.0834353520558146
"70-79","female","high","mid","low","mid","mid","mid",0.0833697398272808
"80+","female","high","high","low","mid","low","high",0.0833526392225703
"80+","female","mid","high","high","high","high","mid",0.0832537325030683
"70-79","male","low","high","mid","high","low","mid",0.0832329753508283
"70-79","male","mid","high","mid","high","mid","high",0.083225881444016
"65-69","male","high","high","mid","high","mid","low",0.083181146411752
"65-69","female","mid","low","high","low","mid","mid",0.0831355654681055
"80+","female","high","high","mid","low","high","mid",0.0830880063852539
"65-69","male","mid","high","mid","high","low","low",0.0830761993404599
"70-79","female","mid","high","low","mid","mid","high",0.0826128676107104
"70-79","female","mid","mid","mid","low","high","high",0.0825913785060732
"65-69","female","high","high","high","low","mid","low",0.0825231155840224
"65-69","female","high","low","low","low","mid","mid",0.0824641112653889
"70-79","male","high","mid","mid","mid","mid","mid",0.0821849646420758
"70-79","female","high","mid","mid","high","mid","low",0.0821785243018705
"65-69","male","high","mid","low","mid","low","high",0.082132392536932
"65-69","female","high","low","high","low","high","high",0.0821006683685565
"70-79","male","mid","mid","high","high","high","high",0.0820876931297592
"70-79","female","mid","mid","low","low","low","mid",0.0820799575282802
"65-69","female","mid","low","mid","mid","mid","mid",0.0820578189918228
"65-69","male","high","high","high","high","high","high",0.0819934825164764
"70-79","female","high","mid","high","low","high","high",0.081895359547791
"65-69","male","mid","high","mid","high","mid","mid",0.0818898805353021
"70-79","female","high","low","mid","high","high","mid",0.0818432250990133
"65-69","female","mid","mid","mid","low","mid","low",0.0818335460939904
"65-69","female","high","mid","high","high","high","low",0.0818304366885094
"70-79","female","mid","high","mid","low","mid","mid",0.0817857654663345
"65-69","male","low","mid","mid","high","low","high",0.0817431719802825
"70-79","male","low","mid","high","mid","low","high",0.0817291284757056
"65-69","female","mid","low","low","mid","low","mid",0.0815190710608464
"70-79","female","mid","mid","high","high","low","low",0.0815036021646675
"80+","male","mid","mid","high","high","mid","high",0.0814700701647301
"65-69","male","mid","high","low","mid","low","high",0.0814519155483943
"80+","female","high","high","high","high","low","mid",0.0814334700935384
"80+","male","high","mid","mid","mid","high","high",0.0813730832058771
"80+","male","high","mid","mid","low","mid","high",0.0813075797250829
"70-79","female","high","high","high","low","mid","mid",0.0810959354827748
"80+","female","high","mid","mid","mid","low","mid",0.0810868910538548
"65-69","female","low","high","mid","mid","mid","low",0.0810435678100833
"70-79","female","low","high","mid","mid","high","mid",0.0809795071115802
"70-79","female","low","high","low","low","low","mid",0.0809546413046809
"65-69","male","mid","low","high","high","low","high",0.0807732951948743
"65-69","female","low","low","low","low","low","high",0.0806304849054225
"65-69","female","low","low","mid","mid","high","high",0.0806280289985715
"80+","female","high","high","low","mid","mid","high",0.0805701945972379
"70-79","female","high","high","low","low","low","low",0.0805577918340233
"70-79","female","mid","mid","mid","high","high","mid",0.0804831812567975
"65-69","female","low","mid","high","mid","mid","low",0.0804521547892781
"65-69","female","mid","low","low","low","mid","high",0.0803472933786541
"80+","female","high","mid","high","high","low","high",0.080005196957724
"70-79","male","mid","high","high","high","low","low",0.0799997822803758
"65-69","female","high","high","low","high","low","low",0.0798157802640602
"70-79","female","high","high","low","high","low","mid",0.0798136192095619
"65-69","male","high","low","high","mid","low","high",0.0797670029145286
"70-79","male","mid","high","high","mid","mid","low",0.0797518396727274
"65-69","male","mid","mid","high","high","low","low",0.0797164814051796
"65-69","male","high","high","low","mid","low","mid",0.0796967139583533
"70-79","female","high","high","high","mid","high","low",0.0795574266635927
"80+","male","high","mid","high","mid","mid","mid",0.0795404312969607
"70-79","female","low","mid","low","low","low","high",0.0795340392529267
"70-79","male","mid","high","mid","low","low","high",0.0795016205235286
"80+","male","mid","high","high","high","high","high",0.0793612862678594
"65-69","male","low","high","mid","high","low","mid",0.0793180384838814
"70-79","male","low","high","high","mid","low","mid",0.0793043756354501
"65-69","male","high","high","mid","mid","high","mid",0.0792222669509129
"65-69","male","mid","mid","mid","low","low","high",0.0792199318675194
"80+","male","high","high","mid","low","high","high",0.0792026390887997
"70-79","female","mid","mid","high","low","mid","mid",0.0791869170488456
"70-79","male","high","high","low","low","mid","high",0.0789322544216901
"65-69","male","mid","high","mid","high","high","high",0.0788842328871785
"70-79","female","high","high","mid","mid","mid","low",0.0788723628140274
"70-79","male","high","high","high","low","low","high",0.0788294023948977
"65-69","female","mid","mid","mid","high","high","low",0.0787268396414805
"65-69","male","high","mid","high","mid","low","low",0.0787222276202146
"80+","female","high","high","high","high","mid","mid",0.0787095893558275
"70-79","male","high","mid","mid","low","low","mid",0.0786438106361855
"70-79","female","low","mid","high","high","mid","high",0.0786321813455668
"70-79","female","low","mid","mid","low","mid","high",0.0785900087815015
"70-79","female","high","mid","low","high","low","high",0.0784113316448044
"70-79","male","high","high","high","high","high","high",0.0781931816209999
"70-79","female","mid","mid","mid","mid","mid","mid",0.0781559962542985
"80+","female","high","mid","high","mid","high","mid",0.0781549656078451
"65-69","male","high","high","mid","low","low","low",0.0780821383521508
"70-79","female","mid","low","mid","high","low","high",0.0780770325676305
"65-69","male","low","mid","high","mid","low","high",0.077878917496355
"80+","male","high","high","high","high","low","high",0.0776189228135667
"70-79","male","mid","high","high","high","mid","mid",0.077486641474156
"80+","male","high","high","high","mid","high","mid",0.0774773814691751
"70-79","female","high","low","high","mid","mid","high",0.0774190260186939
"80+","male","high","mid","mid","mid","low","high",0.0772872124379653
"65-69","female","mid","low","high","low","high","mid",0.0771388283635734
"65-69","female","low","high","low","mid","mid","mid",0.0770771575615179
"65-69","male","high","high","mid","low","mid","mid",0.0769611484502082
"70-79","male","high","mid","mid","low","mid","high",0.0769096841342172
"65-69","female","low","high","low","low","high","mid",0.0769008187747792
"70-79","female","mid","high","low","mid","low","mid",0.0768914874277847
"65-69","male","mid","high","mid","low","low","mid",0.0768633910394859
"70-79","female","high","high","low","mid","high","mid",0.0766368176897967
"70-79","female","low","mid","mid","high","mid","mid",0.0765754236870761
"70-79","female","mid","mid","low","low","mid","high",0.0765200254675682
"65-69","female","high","low","low","low","high","mid",0.0765117657822952
"65-69","male","high","mid","high","high","low","mid",0.0764838430331428
"70-79","female","high","mid","low","low","high","mid",0.0763192710535824
"80+","female","mid","mid","high","high","high","high",0.076306836622126
"70-79","female","mid","low","high","high","low","mid",0.076247708530013
"65-69","male","high","mid","mid","mid","high","high",0.0761645251001079
"80+","female","high","mid","mid","low","high","high",0.0761537903620806
"65-69","female","mid","low","mid","mid","high","mid",0.0761323667393538
"65-69","male","high","mid","high","high","mid","high",0.0761168621662847
"70-79","male","mid","mid","mid","high","low","high",0.076101185478289
"65-69","female","high","low","low","mid","mid","high",0.0758923859761536
"65-69","male","high","low","mid","high","low","high",0.0757337262334058
"70-79","female","mid","low","high","high","high","high",0.0756673881956305
"65-69","male","mid","high","high","mid","high","low",0.0755764814470404
"65-69","male","low","high","high","mid","low","mid",0.0755589941390568
"70-79","male","high","high","mid","mid","high","mid",0.0755398394874942
"70-79","female","mid","mid","low","mid","low","high",0.0755363258967103
"80+","female","mid","high","mid","high","low","high",0.0755340926304674
"70-79","female","high","high","mid","high","high","low",0.0755338770302205
"65-69","female","low","low","mid","high","mid","high",0.0755303030754926
"80+","male","high","mid","mid","high","mid","mid",0.0755176706700978
"65-69","female","low","high","high","low","mid","mid",0.0753745498949219
"70-79","male","high","mid","high","mid","mid","mid",0.0752302928263663
"80+","male","high","high","high","high","mid","high",0.0750122158943433
"80+","male","high","high","mid","mid","low","mid",0.0749834819950727
"65-69","female","mid","high","low","low","mid","low",0.0749220272079441
"70-79","female","mid","mid","mid","low","low","mid",0.0747742978187353
"65-69","male","high","mid","mid","high","low","low",0.0747374877389173
"65-69","female","low","mid","high","high","high","mid",0.0747369864898418
"65-69","female","low","mid","mid","low","high","mid",0.0746967336575811
"80+","female","high","mid","low","low","mid","high",0.0746157499448198
"65-69","female","mid","low","low","low","high","high",0.0745353299022883
"70-79","female","low","high","low","mid","low","high",0.0744934422243731
"80+","male","high","mid","high","mid","high","high",0.0744815392493953
"65-69","female","mid","high","low","high","mid","mid",0.0742257134612223
"80+","female","high","mid","high","mid","low","mid",0.0742176266935782
"70-79","female","low","mid","mid","mid","high","high",0.0742070172910293
"80+","female","high","mid","mid","high","high","mid",0.0741966267477
"65-69","female","high","mid","high","low","low","low",0.0741408515047852
"70-79","female","high","mid","high","low","low","mid",0.0741388317223381
"65-69","female","high","low","high","high","mid","mid",0.0741310955194038
"65-69","male","high","high","mid","low","high","high",0.0741217979128543
"70-79","female","high","low","low","low","low","high",0.0740275858814708
"65-69","female","mid","low","high","mid","mid","low",0.0740093208795493
"65-69","female","high","mid","mid","low","high","low",0.0739731437782608
"70-79","male","mid","low","high","mid","low","high",0.0738746077124746
"70-79","male","mid","high","mid","high","low","mid",0.0738299787227827
"80+","female","mid","high","high","high","low","mid",0.0737595821933804
"80+","female","high","high","mid","low","low","mid",0.0736112377387368
"65-69","male","mid","mid","mid","high","low","mid",0.0735667796652477
"80+","male","high","high","mid","high","high","mid",0.0735506223316001
"65-69","male","high","mid","mid","mid","mid","mid",0.0735283561600796
"70-79","female","high","low","mid","high","mid","high",0.0734949888650386
"70-79","female","low","high","mid","mid","mid","mid",0.0734766369051838
"65-69","male","mid","high","high","high","high","mid",0.0734204145564698
"65-69","female","high","low","low","high","low","high",0.0733409256234451
"65-69","male","mid","mid","mid","high","mid","high",0.0732126857155956
"65-69","female","mid","low","mid","low","mid","high",0.0731835567746489
"80+","female","mid","high","mid","high","mid","high",0.0729918607538149
"70-79","female","low","mid","high","mid","mid","mid",0.0729360606599954
"70-79","male","mid","mid","high","mid","low","low",0.0729008960411386
"70-79","female","low","high","high","low","low","high",0.0728434033107016
"65-69","female","low","mid","mid","mid","low","low",0.0727996636714842
"70-79","female","mid","high","high","low","high","mid",0.0727649828440314
"80+","female","high","high","low","low","high","high",0.0726703477204334
"70-79","male","high","mid","mid","mid","high","high",0.0726130197914932
"70-79","male","mid","mid","high","mid","high","mid",0.0725826648991398
"65-69","male","high","high","high","mid","high","mid",0.0724985014462119
"80+","male","high","high","mid","mid","mid","mid",0.0724583293881367
"80+","female","mid","mid","high","high","low","high",0.0724552859157882
"70-79","female","high","high","high","high","low","low",0.072402209434272
"80+","female","high","mid","mid","low","low","high",0.0723093598615356
"70-79","female","low","high","high","high","high","high",0.0722517053285785
"70-79","female","low","high","mid","low","high","high",0.0722126865834974
"70-79","female","high","high","high","mid","mid","low",0.0721759665969391
"70-79","male","high","mid","low","low","low","high",0.0721461961816619
"70-79","female","high","mid","mid","mid","low","low",0.0720910506341809
"80+","male","mid","mid","high","mid","mid","mid",0.0720309452185258
"65-69","female","low","low","high","mid","mid","high",0.071936741516828
"70-79","female","mid","high","mid","mid","high","mid",0.0718111479438218
"65-69","male","mid","low","high","mid","low","mid",0.071408622610463
"70-79","male","high","mid","mid","high","mid","mid",0.0714086064755546
"70-79","male","low","high","mid","mid","low","high",0.0714065059734998
"65-69","female","low","mid","low","low","mid","mid",0.0713608256533897
"65-69","female","mid","low","mid","high","mid","mid",0.0712968374949004
"80+","female","mid","high","high","high","mid","mid",0.0712724700754625
"65-69","female","mid","mid","low","mid","high","mid",0.0712283086509149
"65-69","male","mid","high","high","low","mid","high",0.07117419013514
"65-69","female","mid","high","high","low","high","low",0.0711640360737287
"80+","female","high","high","mid","low","mid","mid",0.0711287435507534
"70-79","male","high","high","high","high","mid","high",0.0709285444021974
"70-79","male","mid","mid","high","high","low","mid",0.0708153117602354
"80+","female","mid","mid","high","mid","high","mid",0.0707662263067647
"70-79","male","high","high","mid","mid","low","low",0.0707475243379307
"65-69","female","high","high","low","mid","mid","low",0.0707447874087826
"65-69","female","low","high","low","mid","high","high",0.0707382626366245
"80+","male","high","mid","high","mid","low","high",0.0707150662838513
"80+","male","high","mid","mid","high","high","high",0.0706949817114879
"70-79","male","high","high","mid","low","high","high",0.070658258577697
"65-69","male","high","high","low","low","mid","high",0.070591905318477
"65-69","female","high","high","low","low","high","low",0.0705818280160483
"65-69","male","mid","mid","high","high","high","high",0.070569444241616
"70-79","female","mid","mid","high","mid","mid","low",0.0704608254770175
"80+","female","high","mid","mid","high","low","mid",0.070443464970809
"65-69","female","low","mid","low","low","high","high",0.0704432922282719
"65-69","female","low","high","mid","high","mid","low",0.0704053926193824
"65-69","female","high","low","low","mid","high","high",0.0703780099675615
"70-79","female","low","high","mid","high","high","mid",0.0703490971113944
"70-79","female","mid","high","low","low","high","high",0.0702978603967622
"80+","male","mid","high","high","high","low","high",0.0702769973950219
"65-69","male","mid","high","mid","mid","mid","high",0.0702396283995159
"65-69","female","mid","high","mid","mid","high","low",0.0702295975861216
"70-79","female","high","mid","low","mid","high","high",0.0701997739937768
"70-79","female","mid","low","high","mid","high","mid",0.0701696808568535
"80+","male","mid","high","high","mid","high","mid",0.0701478261663814
"80+","male","high","high","mid","low","low","high",0.0701351267216416
"65-69","male","mid","mid","high","mid","mid","low",0.0701246469047074
"65-69","female","low","low","mid","high","high","high",0.0700402421505043
"70-79","male","high","high","low","low","low","mid",0.0699840833738741
"65-69","female","high","high","low","high","high","mid",0.069922802493161
"65-69","male","high","mid","high","mid","high","high",0.0696806375906675
"70-79","female","mid","mid","mid","low","mid","high",0.0696716750027208
"70-79","female","high","high","low","mid","mid","mid",0.0695058736523659
"65-69","female","high","low","high","low","low","mid",0.0693239212685622
"65-69","male","high","high","high","low","low","high",0.0692660545009653
"70-79","male","mid","mid","high","high","mid","high",0.0692408340198602
"65-69","female","low","mid","low","mid","low","mid",0.0692063388725172
"65-69","female","low","high","high","low","high","high",0.069165185357258
"70-79","male","high","high","high","mid","high","mid",0.0691051535198825
"65-69","male","high","mid","mid","low","low","mid",0.0691012891929536
"70-79","female","high","mid","high","low","mid","high",0.0690763357831675
"65-69","male","high","high","mid","high","high","mid",0.0688052644564985
"65-69","male","high","mid","mid","low","mid","high",0.0687670932726084
"65-69","female","high","low","high","high","high","mid",0.0687351768175987
"65-69","female","mid","low","high","mid","high","low",0.0686216090648339
"80+","male","high","high","high","mid","low","mid",0.0685926716780924
"70-79","female","high","mid","high","high","high","mid",0.0685607945577009
"70-79","male","high","high","mid","mid","mid","mid",0.0685033950343737
"70-79","female","high","high","mid","high","mid","low",0.0684979468206808
"65-69","female","mid","high","mid","low","mid","low",0.0682061306831607
"65-69","male","mid","mid","high","high","mid","mid",0.0681126517198112
"65-69","female","mid","high","low","high","high","high",0.0681040193292251
"65-69","female","low","low","mid","mid","low","mid",0.0680634646200987
"65-69","male","low","high","mid","mid","low","high",0.0680065731113781
"80+","female","high","mid","mid","mid","mid","mid",0.0679369537571672
"80+","male","mid","high","high","high","mid","high",0.0678987068765524
"70-79","female","mid","mid","mid","high","mid","mid",0.0678688643454127
"65-69","female","mid","low","mid","low","high","high",0.0678515539168851
"80+","male","high","high","mid","low","mid","high",0.0677612874198675
"65-69","female","low","mid","high","low","low","mid",0.0676648479028754
"70-79","male","high","high","low","mid","low","high",0.0675394600174883
"80+","male","mid","mid","high","mid","high","high",0.0674146872537976
"65-69","female","high","low","mid","mid","low","low",0.0673994509668223
"70-79","female","high","low","mid","mid","low","mid",0.0673976014680758
"65-69","female","mid","mid","low","low","low","low",0.0672552448252873
"65-69","male","high","mid","high","mid","mid","mid",0.0672525488476404
"80+","female","mid","mid","high","mid","low","mid",0.0671739974630855
"70-79","female","low","mid","mid","mid","low","mid",0.0671254331460545
"80+","male","high","mid","mid","high","low","high",0.0671061082073742
"65-69","female","low","high","high","mid","mid","low",0.0670379812766467
"80+","female","high","mid","high","high","mid","high",0.0670178853793982
"70-79","female","low","high","high","mid","high","mid",0.066984184301682
"65-69","female","high","low","mid","low","mid","mid",0.0669591735120838
"70-79","female","high","low","mid","mid","high","high",0.0668797624553652
"65-69","female","low","low","high","mid","high","high",0.0666890426281144
"70-79","female","mid","mid","high","low","high","high",0.0666296834052938
"65-69","female","mid","mid","low","high","low","mid",0.0666250531921922
"70-79","female","high","low","high","high","low","high",0.0664853091163801
"70-79","male","high","mid","high","mid","high","high",0.0664097383650277
"80+","male","high","high","high","mid","mid","mid",0.066267318761422
"80+","female","high","high","mid","mid","high","mid",0.0661532347461559
"65-69","male","high","mid","mid","high","high","high",0.0661207155073192
"65-69","female","mid","low","mid","high","high","mid",0.0660924944798011
"65-69","female","low","high","high","high","low","low",0.0660690503138639
"65-69","female","low","high","mid","low","low","low",0.066033132797374
"65-69","female","mid","mid","high","low","mid","low",0.066007772673078
"70-79","female","mid","high","high","low","mid","mid",0.0659685684340853
"70-79","female","high","mid","high","mid","low","low",0.0659291906136475
"70-79","female","mid","mid","mid","mid","high","high",0.0657505697602128
"65-69","female","low","mid","low","mid","mid","high",0.0656106699310366
"70-79","male","high","high","mid","high","high","mid",0.0655725601123298
"70-79","female","low","high","high","high","mid","high",0.0654998456321213
"65-69","female","high","mid","low","low","mid","low",0.0654647759174732
"70-79","female","low","high","mid","low","mid","high",0.0654642158654901
"70-79","female","high","high","mid","low","low","low",0.0653857387413908
"80+","female","high","high","high","high","high","high",0.0652566075145373
"65-69","female","mid","mid","mid","mid","mid","low",0.0651362919027943
"70-79","female","mid","high","mid","mid","mid","mid",0.0650975691896703
"80+","male","high","high","mid","high","low","mid",0.0650844442499807
"65-69","female","high","mid","low","high","mid","mid",0.06485019480579
"70-79","male","high","mid","high","high","low","high",0.0647821936923224
"80+","male","high","mid","mid","mid","mid","high",0.0647100798207833
"70-79","female","mid","high","high","mid","high","low",0.0646968420998153
"70-79","male","high","high","high","mid","low","low",0.0646924937672401
"70-79","female","low","mid","mid","high","high","high",0.0644033486262598
"70-79","female","high","mid","low","low","mid","mid",0.0643119286570528
"80+","female","high","high","low","low","low","high",0.0642984629362257
"65-69","female","low","mid","high","low","mid","high",0.0641437491238023
"70-79","male","mid","high","high","low","low","high",0.0640953363869324
"70-79","male","high","high","mid","low","mid","high",0.0640450257011402
"65-69","female","high","mid","low","high","high","high",0.0640106026872765
"80+","male","mid","mid","high","mid","low","high",0.0639808748757932
"70-79","female","mid","high","mid","low","high","high",0.0639678048466857
"65-69","male","mid","mid","high","low","low","high",0.063864447708962
"65-69","male","high","mid","mid","high","mid","mid",0.0638081674791754
"70-79","female","low","high","mid","high","mid","mid",0.0637628147750839
"70-79","female","mid","high","low","low","mid","high",0.0637160462173686
"70-79","male","mid","high","high","high","high","high",0.0635698257322176
"65-69","female","high","mid","low","mid","low","low",0.0634761317240304
"70-79","female","high","mid","low","mid","low","mid",0.0634743825570575
"70-79","female","high","high","high","low","high","high",0.063417882357286
"65-69","male","high","high","high","high","mid","high",0.0633757139874527
"65-69","female","high","high","high","high","high","low",0.063366596593176
"65-69","male","high","mid","low","low","low","high",0.063337886822923
"70-79","male","mid","high","mid","mid","low","high",0.0632473951228963
"65-69","female","low","mid","mid","high","low","low",0.0631692374929372
"65-69","female","mid","mid","low","high","mid","high",0.0631543973942993
"65-69","male","mid","mid","mid","mid","low","high",0.0630193552815808
"70-79","male","high","mid","mid","high","high","high",0.0630056063312207
"80+","male","high","high","mid","mid","high","high",0.0630053569164438
"65-69","female","mid","high","low","mid","low","low",0.0629396250861602
"70-79","female","mid","low","high","mid","mid","high",0.0629305655189035
"80+","male","high","high","mid","high","mid","mid",0.0628699954674485
"65-69","female","mid","low","low","low","low","mid",0.0628553018692139
"70-79","male","high","high","high","high","low","mid",0.0628258259553844
"65-69","male","mid","high","low","low","low","high",0.0628024702889462
"70-79","male","high","high","high","mid","mid","mid",0.0626274870908471
"70-79","male","high","mid","mid","mid","low","mid",0.0625530476583748
"70-79","female","high","mid","mid","high","low","low",0.0625480409105699
"70-79","female","low","mid","mid","mid","mid","high",0.0625095069863997
"65-69","female","mid","low","high","high","low","low",0.0624047621667092
"65-69","male","mid","mid","high","mid","high","mid",0.0623075953773936
"70-79","female","mid","high","mid","high","high","mid",0.062302702387861
"80+","female","high","high","low","low","mid","high",0.0621089799995034
"80+","female","high","mid","high","mid","mid","mid",0.062106393094506
"65-69","male","high","high","mid","mid","low","low",0.0620985497413629
"65-69","female","high","low","mid","low","high","mid",0.0620503048578198
"80+","male","mid","high","high","mid","low","mid",0.0620471007980029
"70-79","male","low","high","mid","high","low","high",0.0619480628190769
"65-69","male","mid","high","high","low","low","mid",0.0619339597171053
"70-79","female","high","mid","mid","low","high","mid",0.0618917550916392
"65-69","female","low","high","low","high","low","high",0.0616535347775163
"65-69","female","high","low","high","mid","low","low",0.0616119711327998
"70-79","female","high","low","high","mid","low","mid",0.0616102699557942
"65-69","male","high","high","low","low","low","mid",0.061422271315429
"70-79","male","high","high","mid","high","low","low",0.061370600454015
"70-79","female","low","mid","high","mid","high","high",0.0613040768414761
"65-69","male","high","high","mid","mid","mid","mid",0.0611917980931953
"65-69","female","mid","mid","mid","low","low","low",0.0611811356562071
"70-79","male","high","mid","mid","mid","mid","high",0.0611501802267193
"70-79","female","high","low","high","mid","high","high",0.0611339821659088
"70-79","male","mid","mid","high","mid","mid","mid",0.0611243013853267
"65-69","male","mid","high","mid","mid","low","mid",0.0611127450060181
"65-69","male","mid","high","mid","high","mid","high",0.0609256078106671
"65-69","female","mid","high","mid","high","high","low",0.0609168199702589
"70-79","female","low","high","high","high","low","mid",0.0608849761912924
"70-79","female","low","high","mid","low","low","mid",0.0608516932969612
"70-79","female","low","high","high","mid","mid","mid",0.0606923677160704
"65-69","female","low","low","high","high","low","high",0.0606358801326461
"80+","female","mid","mid","high","high","mid","high",0.0606128116360918
"65-69","female","low","low","mid","low","low","high",0.0606027246199617
"80+","female","high","mid","mid","mid","high","high",0.0605390179401601
"80+","female","high","mid","mid","low","mid","high",0.0604891810848201
"65-69","female","high","mid","high","low","high","mid",0.0604712866988836
"80+","female","high","high","high","mid","high","mid",0.06046582734129
"70-79","female","mid","mid","high","low","low","mid",0.0602241660238291
"65-69","female","low","mid","high","mid","low","low",0.0601255380432736
"70-79","female","high","low","mid","low","low","high",0.0600051501620918
"80+","male","mid","high","high","mid","mid","mid",0.0599293708718045
"70-79","female","low","mid","high","high","low","high",0.0597936457372679
"70-79","female","low","mid","mid","low","low","high",0.059760921457464
"70-79","female","mid","mid","mid","mid","low","mid",0.0594241862047746
"70-79","male","high","high","mid","high","mid","mid",0.0594048950124805
"65-69","female","low","high","low","low","mid","mid",0.0593646326182679
