"variable1","state1","variable2","state2","n","limited_n","observed_limited","mean_cv_probability"
"social_resources","high","socioeconomic_resources","mid","179","30","0.167597765363128","0.151068485985973"
"social_resources","low","health_behavior","high","120","15","0.125","0.134117024247264"
"social_resources","low","health_behavior","low","206","69","0.33495145631068","0.405634717769394"
"social_resources","high","health_behavior","low","128","33","0.2578125","0.267217194227253"
"social_resources","mid","health_behavior","mid","218","33","0.151376146788991","0.147618982038846"
"social_resources","mid","health_behavior","low","161","44","0.273291925465839","0.295071963631633"
"social_resources","mid","health_behavior","high","174","20","0.114942528735632","0.0936636614692564"
"social_resources","low","health_behavior","mid","201","35","0.174129353233831","0.207730255844655"
"social_resources","high","health_behavior","mid","206","35","0.169902912621359","0.141720049188983"
"social_resources","high","health_behavior","high","176","13","0.0738636363636364","0.071958759369073"
"socioeconomic_resources","high","health_behavior","high","200","13","0.065","0.0739679440988061"
"socioeconomic_resources","low","health_behavior","low","194","64","0.329896907216495","0.390942650452328"
"socioeconomic_resources","mid","health_behavior","mid","222","32","0.144144144144144","0.161906516548016"
"socioeconomic_resources","low","health_behavior","high","119","14","0.117647058823529","0.120281600082751"
"socioeconomic_resources","mid","health_behavior","low","159","45","0.283018867924528","0.323924447578304"
"socioeconomic_resources","high","health_behavior","low","142","37","0.26056338028169","0.26707237685616"
"socioeconomic_resources","low","health_behavior","mid","216","37","0.171296296296296","0.18286175051385"
"socioeconomic_resources","high","health_behavior","mid","187","34","0.181818181818182","0.148062378917237"
"socioeconomic_resources","mid","health_behavior","high","151","21","0.139072847682119","0.105623592216362"
